Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
BungeeCord1,net.md_5.bungee,BungeeCord,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: CommandEnd; CommandReload; BungeeCordLauncher; BungeeServerInfo; Metrics; ServerConnector; UserConnection; InitialHandler; PingHandler; UpstreamBridge; EntityMap_1_10; EntityMap_1_11; EntityMap_1_12; EntityMap_1_12_1; EntityMap_1_13; EntityMap_1_14; EntityMap_1_15; EntityMap_1_16; EntityMap_1_16_2; EntityMap_1_8; EntityMap_1_9; EntityMap_1_9_4; ForgeLogger; PipelineUtils; TabList. Outgoing dependencies: Configuration; PluginManager; ReconnectHandler; ConfigurationAdapter; BungeeScheduler; ConnectionThrottle; ModuleManager; BungeeLogger; PipelineUtils; DefinedPacket; ProxiedPlayer; UserConnection; ServerInfo; PluginMessage; CommandSender; TextComponent; BaseComponent; Title; ServerPing; JDK14LoggerFactory; EncryptionUtil; CompressFactory; ForgeConstants; Metrics; ProtocolConstants
BungeeCord1,net.md_5.bungee,BungeeTitle,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee,BungeeTitle.TitlePacketHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: oldPacket; newPacket
BungeeCord1,net.md_5.bungee,BungeeTitle.TitlePacketHolder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee,EncryptionUtil,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: random; MIME_ENCODER; keys; secret; nativeFactory; MOJANG_KEY
BungeeCord1,net.md_5.bungee,PlayerInfoSerializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee,ServerConnection.KeepAliveData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; time
BungeeCord1,net.md_5.bungee,ServerConnection.KeepAliveData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee,ServerConnector.State,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
BungeeCord1,net.md_5.bungee,ServerConnector.State,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee,UserConnection,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: getChatMode
BungeeCord1,net.md_5.bungee,UserConnection,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 66 public methods
BungeeCord1,net.md_5.bungee,UserConnection,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: BungeeCord; ServerConnector; DownstreamBridge; InitialHandler; UpstreamBridge; EntityMap_1_10; EntityMap_1_11; EntityMap_1_12; EntityMap_1_12_1; EntityMap_1_13; EntityMap_1_14; EntityMap_1_15; EntityMap_1_16; EntityMap_1_16_2; EntityMap_1_8; EntityMap_1_9; EntityMap_1_9_4; ForgeClientHandler; ForgeServerHandler; IForgeClientPacketHandler; IForgeServerPacketHandler; TabList. Outgoing dependencies: ProxyServer; ChannelWrapper; InitialHandler; ServerConnection; ServerInfo; TabList; ClientSettings; Scoreboard; EntityMap; ForgeClientHandler; ForgeServerHandler; DefinedPacket; BungeeCord; ServerUnique; PacketWrapper; Protocol; Callback; ServerConnectRequest; ServerConnectEvent; BungeeServerInfo; Bootstrap; PipelineUtils; Util; TextComponent; BaseComponent; ChatMessageType; Title; ChatComponentTransformer; SkinConfiguration; Title; ForgeConstants; ProtocolConstants; ProxiedPlayer; PlayerSkinConfiguration; HandlerBoss
BungeeCord1,net.md_5.bungee,ThrottleTest.FixedTicker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
BungeeCord1,net.md_5.bungee,ThrottleTest.FixedTicker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.chat,BaseComponent,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: TranslatableComponent; TranslationProvider; BaseComponent; HoverEvent; Content; TextComponent; ComponentBuilder; ComponentSerializer; SelectorComponent
BungeeCord1,net.md_5.bungee.api.chat,BaseComponent,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 39 public methods
BungeeCord1,net.md_5.bungee.api.chat,ClickEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: action; value
BungeeCord1,net.md_5.bungee.api.chat,ClickEvent.Action,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
BungeeCord1,net.md_5.bungee.api.chat,ClickEvent.Action,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.chat,ComponentBuilder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 35 public methods
BungeeCord1,net.md_5.bungee.api.chat,ComponentBuilder.FormatRetention,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
BungeeCord1,net.md_5.bungee.api.chat,ComponentBuilder.FormatRetention,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.chat,ComponentBuilder.Joiner,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.chat,ComponentStyle,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ComponentStyleBuilder; ComponentStyle
BungeeCord1,net.md_5.bungee.api.chat,HoverEvent.Action,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
BungeeCord1,net.md_5.bungee.api.chat,HoverEvent.Action,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.chat,ItemTag.Serializer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
BungeeCord1,net.md_5.bungee.api.chat,ItemTag.Serializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.chat,Keybinds,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.chat,Keybinds,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: JUMP; SNEAK; SPRINT; LEFT; RIGHT; BACK; FORWARD; ATTACK; PICK_ITEM; USE; DROP; HOTBAR_1; HOTBAR_2; HOTBAR_3; HOTBAR_4; HOTBAR_5; HOTBAR_6; HOTBAR_7; HOTBAR_8; HOTBAR_9; INVENTORY; SWAP_HANDS; LOAD_TOOLBAR_ACTIVATOR; SAVE_TOOLBAR_ACTIVATOR; PLAYERLIST; CHAT; COMMAND; SOCIAL_INTERACTIONS; ADVANCEMENTS; SPECTATOR_OUTLINES; SCREENSHOT; SMOOTH_CAMERA; FULLSCREEN; TOGGLE_PERSPECTIVE
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 51 public methods
